,056,058,066,034,023,002,Mean
Accuracy,0.967032967032967,0.974456910957269,0.9878872583275099,0.9616590306245478,0.9575586095392078,0.9813757885250826,0.9716617608344307
Sensitivity,0.9526226734348562,0.9551641313050441,0.9860426929392446,0.9235772357723577,0.9524772497472194,0.9629277566539924,0.9554686233087857
Specificity,0.9728801922416752,0.9826530612244898,0.9886178861788618,0.9777168323620158,0.960942760942761,0.98989898989899,0.9787849538081321
Dice score,0.9434436531210725,0.9570798235058163,0.9788101059494703,0.9345948169477581,0.947209653092006,0.9703065134099617,0.9552407610043474
ROC AUC,0.9912493327362085,0.9943953802497781,0.9983618353424913,0.9879185932757512,0.9867655319627009,0.9953446266266568,0.9923392166989311
