,019,056,058,002,082,034,Mean
Accuracy,0.9400299850074962,0.9711843711843712,0.9763666746240153,0.9732652448182637,0.9748826291079812,0.9621413069688932,0.9663117019518367
Sensitivity,0.9311203319502075,0.94331641285956,0.9535628502802241,0.9344106463878327,0.9814665592264303,0.926829268292683,0.9451176781661563
Specificity,0.9438684304612084,0.9824922760041195,0.9860544217687075,0.9912165129556434,0.9721762172904935,0.9770311964346932,0.9754731758191442
Dice score,0.9033816425120773,0.9497444633730835,0.9600967351874244,0.95669099756691,0.9579237121510028,0.9355765285186705,0.943902346551528
ROC AUC,0.983198655346496,0.9918088468578047,0.9964996486985507,0.9972983680414661,0.9962168153934563,0.9912161955010019,0.9927064216397957
