,066,056,019,023,034,022,002,082,058,Mean
Accuracy,0.9888190076869322,0.9755799755799756,0.9510244877561219,0.9620048504446241,0.9621413069688932,0.9697039247188433,0.9765695404025233,0.9845070422535211,0.9806636428741943,0.9723348642984031
Sensitivity,0.9909688013136289,0.9475465313028765,0.9186721991701244,0.9433771486349848,0.9235772357723577,0.9306772908366534,0.9477186311787072,0.9782433521353747,0.9615692554043235,0.9491500495276701
Specificity,0.9879674796747967,0.98695502917954,0.964962459778334,0.9744107744107744,0.9784024682893384,0.9854932301740812,0.98989898989899,0.9870818151705862,0.9887755102040816,0.9826608618645025
Dice score,0.9805036555645816,0.9572649572649573,0.9186721991701244,0.9520408163265306,0.9353643474680938,0.946515397082658,0.9623552123552124,0.9735364875701684,0.9673781715666533,0.9548479160409976
ROC AUC,0.9986057377815158,0.9930077434547159,0.9868979359924757,0.987744992901717,0.9917309798740771,0.9917403243248797,0.9973165278174371,0.9976206293794951,0.9968953394007722,0.9935066901030096
