,023,058,034,056,066,022,Mean
Accuracy,0.9575586095392078,0.9763666746240153,0.963588136001929,0.9709401709401709,0.9885860703470767,0.9637365159513427,0.9701293629006238
Sensitivity,0.9464105156723963,0.9511609287429944,0.9308943089430894,0.9483925549915397,0.9827586206896551,0.9051792828685259,0.9441327019847
Specificity,0.9649831649831649,0.9870748299319728,0.9773740143983545,0.9800892550635084,0.9908943089430894,0.9874274661508704,0.9813071732451601
Dice score,0.9468892261001517,0.96,0.9381401065137239,0.9495976281236764,0.9799426934097422,0.9349794238683128,0.9515915130026013
ROC AUC,0.9857898159212619,0.995166745641411,0.9926083708900167,0.992190181943014,0.998690776562938,0.9898507838407814,0.9923827791332371
