,066,056,019,023,034,022,002,082,058,Mean
Accuracy,0.9848590729093873,0.9711843711843712,0.9540229885057471,0.9628132578819725,0.965034965034965,0.9609823272894193,0.9750675878642235,0.9758215962441315,0.9763666746240153,0.9695725379486926
Sensitivity,0.9942528735632183,0.937394247038917,0.9510373443983402,0.9534883720930233,0.9349593495934959,0.9035856573705179,0.9391634980988594,0.9742143432715552,0.9583666933546837,0.9496069309758456
Specificity,0.9811382113821138,0.9848952969447305,0.9553092599213443,0.969023569023569,0.9777168323620158,0.9842037395228884,0.9916556873078612,0.9764822789002982,0.9840136054421769,0.9782709423118886
Dice score,0.9738640932850824,0.9494430162810625,0.925686591276252,0.9534883720930233,0.9406952965235174,0.9302707136997539,0.9596891694997571,0.9591431971439904,0.9602888086642599,0.9502854731629665
ROC AUC,0.9987009224772051,0.9927534716595134,0.9843741887054447,0.9911579563753476,0.9912660852696974,0.9918262475565179,0.9958560226166442,0.9964806560865259,0.9972938895333954,0.9933010489200326
