,066,056,019,023,034,022,002,082,058,Mean
Accuracy,0.9871884463079431,0.9675213675213675,0.9527736131934033,0.9611964430072757,0.9698577284784181,0.9671792517787469,0.9759687593872034,0.9788732394366197,0.9766053950823586,0.9707960271325928
Sensitivity,0.993431855500821,0.9585448392554992,0.9244813278008299,0.9565217391304348,0.9349593495934959,0.9402390438247012,0.9372623574144486,0.958904109589041,0.9607686148919136,0.9516792485556872
Specificity,0.9847154471544716,0.9711637487126673,0.964962459778334,0.9643097643097643,0.9845731916352417,0.9780786589297228,0.9938515590689504,0.9870818151705862,0.9833333333333333,0.9791188864547856
Dice score,0.9777777777777777,0.944560233430596,0.9218038891187422,0.9517102615694165,0.9484536082474226,0.9428685577307231,0.9610136452241715,0.9635627530364372,0.9607686148919136,0.9525021490030223
ROC AUC,0.9988039836063385,0.9926966925207789,0.984968482829113,0.9895262023674563,0.9929380893054731,0.993124985551026,0.9974793396020045,0.9967498349827937,0.9960338338698168,0.9935912716260888
