,066,056,019,023,034,022,002,082,058,Mean
Accuracy,0.9860237596086653,0.9660561660561661,0.9500249875062469,0.9571544058205336,0.9645526886906197,0.9671792517787469,0.9759687593872034,0.9765258215962441,0.9758892337073287,0.9688194526835283
Sensitivity,0.9893267651888341,0.961082910321489,0.9161825726141078,0.9393326592517695,0.9260162601626016,0.9330677290836653,0.9420152091254753,0.9766317485898469,0.9431545236188951,0.9474233753285204
Specificity,0.9847154471544716,0.9680741503604532,0.9646049338577047,0.969023569023569,0.9808021940349674,0.9809800128949066,0.9916556873078612,0.9764822789002982,0.9897959183673469,0.978459354655731
Dice score,0.9757085020242915,0.9423475736209042,0.9169435215946844,0.9460285132382892,0.9393814432989691,0.9424547283702214,0.9612027158098934,0.9603803486529319,0.9588929588929589,0.9492600339447937
ROC AUC,0.9987567250056736,0.9916631960236596,0.9854976508618452,0.9893879816023397,0.9923114013450728,0.9914680414383729,0.997148288973384,0.9965196249698725,0.9959242223710941,0.9931863480657016
