,056,058,066,022,023,034,Mean
Accuracy,0.96996336996337,0.974456910957269,0.9841602608898207,0.9653431260041313,0.9535165723524657,0.9621413069688932,0.9682635911893249
Sensitivity,0.9204737732656514,0.9391513210568455,0.9852216748768473,0.9227091633466136,0.9211324570273003,0.9317073170731708,0.9367326177744048
Specificity,0.9900446275317542,0.9894557823129252,0.983739837398374,0.9825918762088974,0.9750841750841751,0.9749742886527254,0.9826484311981419
Dice score,0.9464984775989561,0.9563799429270281,0.9724473257698542,0.9387920551276855,0.940629839958699,0.9358922008983258,0.9484399737134246
ROC AUC,0.9904377250472385,0.9951600736371411,0.9983590318661807,0.9897643468678476,0.9869289456751539,0.991986699777865,0.9921061371452379
