,066,056,002,023,022,082,Mean
Accuracy,0.985092010249243,0.9543345543345544,0.978371883448483,0.9543249797898141,0.9639660316731696,0.9774647887323944,0.9689257080379431
Sensitivity,0.9835796387520526,0.8637901861252115,0.9610266159695817,0.9302325581395349,0.9250996015936255,0.9903303787268332,0.9423431632178065
Specificity,0.9856910569105691,0.9910744936491589,0.9863855950812472,0.9703703703703703,0.9796905222437138,0.9721762172904935,0.9808980425909254
Dice score,0.9739837398373984,0.9161058770749215,0.9656160458452722,0.9421402969790067,0.936668011294877,0.9624119028974158,0.9494876456548154
ROC AUC,0.998258640714486,0.9842020396344527,0.9975657550876595,0.9885498054355486,0.9892919617468231,0.9967860013094613,0.9924423673214052
