,066,056,019,023,034,022,002,082,058,Mean
Accuracy,0.9878872583275099,0.9706959706959707,0.9500249875062469,0.9571544058205336,0.9621413069688932,0.9690153775533624,0.9759687593872034,0.9819248826291079,0.978753879207448,0.9703963142329195
Sensitivity,0.9893267651888341,0.937394247038917,0.9452282157676348,0.9443882709807887,0.9170731707317074,0.9306772908366534,0.9515209125475285,0.9871071716357775,0.9615692554043235,0.9515872555702407
Specificity,0.9873170731707317,0.9842087195331274,0.9520915266356811,0.9656565656565657,0.9811450119986287,0.9845261121856866,0.9872639437856829,0.9797946339847632,0.9860544217687075,0.9786731120799528
Dice score,0.9788789601949635,0.9486301369863014,0.9192897497982244,0.9463019250253293,0.9349357646083714,0.9453662484823958,0.9615754082612872,0.9695290858725761,0.9642713769570453,0.9520865173540548
ROC AUC,0.998427650286355,0.991089305598394,0.9855639637608167,0.9907255909278154,0.9917330702275141,0.993579004420744,0.996043464901954,0.997323424916437,0.9960307021127106,0.9933906863503046
