,082,034,058,022,023,066,Mean
Accuracy,0.9748826291079812,0.9597299252471666,0.9770828359990451,0.9671792517787469,0.9603880355699272,0.9878872583275099,0.9711916560050629
Sensitivity,0.9887187751813054,0.9276422764227642,0.9439551641313051,0.9235059760956176,0.9474216380182002,0.9885057471264368,0.9532915961626048
Specificity,0.969195097714475,0.9732601988344189,0.991156462585034,0.9848484848484849,0.969023569023569,0.9876422764227643,0.9791876815714576
Dice score,0.9582194455290902,0.9318089015924867,0.960880195599022,0.9418935392117026,0.9503042596348884,0.9788617886178862,0.9536613550308459
ROC AUC,0.9970735970067627,0.9913612660295269,0.9958685315599418,0.9939727871235882,0.9895558211028384,0.9985483332665839,0.9943967226815403
