,056,058,066,022,023,034,Mean
Accuracy,0.9743589743589743,0.9754117927906422,0.988353133007221,0.962359421620381,0.9591754244139046,0.9679286231010369,0.9712645615486933
Sensitivity,0.94331641285956,0.9527622097678142,0.9917898193760263,0.899601593625498,0.9443882709807887,0.9447154471544715,0.9460956256273598
Specificity,0.98695502917954,0.9850340136054422,0.9869918699186991,0.9877498388136686,0.969023569023569,0.9777168323620158,0.9822451921504891
Dice score,0.9550321199143469,0.9585179218687072,0.9797242497972425,0.9322873658133773,0.9487049263585576,0.9458689458689459,0.9533559216035296
ROC AUC,0.9929907532776521,0.9950599935730897,0.9985041451399737,0.9902428968844158,0.9872761998141169,0.9912110392958574,0.9925475046641843
