,023,058,034,056,066,022,Mean
Accuracy,0.9555375909458367,0.9770828359990451,0.9616590306245478,0.9575091575091575,0.9860237596086653,0.9662611888914391,0.9673455939297818
Sensitivity,0.9332659251769464,0.9511609287429944,0.9317073170731708,0.8747884940778342,0.9917898193760263,0.9163346613545816,0.9331745243002589
Specificity,0.9703703703703703,0.9880952380952381,0.9742886527254028,0.9910744936491589,0.983739837398374,0.9864603481624759,0.9823381567335033
Dice score,0.943762781186094,0.9611650485436893,0.9351285189718482,0.9223907225691347,0.975767366720517,0.9399264405394361,0.9463568130884532
ROC AUC,0.9882842581528122,0.9953411708959005,0.9921811026475024,0.9825827450666044,0.9983394075320062,0.9926703245046892,0.9915665014665858
