,066,056,019,023,034,022,Mean
Accuracy,0.9855578849289541,0.968009768009768,0.9555222388805598,0.9567502021018593,0.9643115505184471,0.9658021574477852,0.9659923003145624
Sensitivity,0.9753694581280788,0.9230118443316413,0.9195020746887966,0.9403437815975733,0.9121951219512195,0.9322709163346613,0.9337821995053285
Specificity,0.9895934959349594,0.9862684517679369,0.9710404004290311,0.9676767676767677,0.9862872814535482,0.9793681495809156,0.9800390911405265
Dice score,0.9745693191140279,0.9433635970600951,0.9256474519632414,0.945602440264362,0.9381270903010034,0.9401366010445962,0.9445744166245543
ROC AUC,0.9981888208044642,0.9910871273705653,0.9857900506915382,0.9872523686477174,0.991828669058031,0.9905691226069289,0.9907860265298742
