,019,056,058,002,082,034,Mean
Accuracy,0.9525237381309345,0.967032967032967,0.9751730723322989,0.9750675878642235,0.9753521126760564,0.9599710634193392,0.9675200902426367
Sensitivity,0.9435684647302904,0.9348561759729273,0.9535628502802241,0.9420152091254753,0.9556809024979855,0.9211382113821138,0.941803635664836
Specificity,0.956381837683232,0.9800892550635084,0.9843537414965986,0.9903381642512077,0.9834382245776747,0.9763455605073705,0.9784911305965988
Dice score,0.9228896103896104,0.9424307036247335,0.9581657280772325,0.9598062953995158,0.9576100121114252,0.9317434210526315,0.9454409617758582
ROC AUC,0.9849649224050072,0.9914034060512912,0.9953248312936064,0.9968308059934775,0.9950545551021346,0.9906736791056632,0.9923753666585301
